{'股票代码': 'SZ000001', '股票价格': '17.76'}
{'股票代码': 'SZ000002', '股票价格': '20.16'}
{'股票代码': 'SZ000004', '股票价格': '22.69'}
{'股票代码': 'SZ000005', '股票价格': '2.10'}
{'股票代码': 'SZ000006', '股票价格': '4.50'}
{'股票代码': 'SZ000007', '股票价格': '4.22'}
{'股票代码': 'SZ000008', '股票价格': '2.10'}
{'股票代码': 'SZ000009', '股票价格': '21.41'}
{'股票代码': 'SZ000010', '股票价格': '3.92'}
{'股票代码': 'SZ000011', '股票价格': '11.68'}
{'股票代码': 'SZ000012', '股票价格': '9.87'}
{'股票代码': 'SZ000014', '股票价格': '7.03'}
{'股票代码': 'SZ000016', '股票价格': '6.18'}
{'股票代码': 'SZ000017', '股票价格': '4.09'}
{'股票代码': 'SZ000019', '股票价格': '7.24'}
{'股票代码': 'SZ000020', '股票价格': '9.62'}
{'股票代码': 'SZ000021', '股票价格': '17.55'}
{'股票代码': 'SZ000023', '股票价格': '13.87'}
{'股票代码': 'SZ000025', '股票价格': '15.54'}
{'股票代码': 'SZ000026', '股票价格': '12.21'}
{'股票代码': 'SZ000027', '股票价格': '8.74'}
{'股票代码': 'SZ000028', '股票价格': '35.45'}
{'股票代码': 'SZ000029', '股票价格': '7.12'}
{'股票代码': 'SZ000030', '股票价格': '5.69'}
{'股票代码': 'SZ000031', '股票价格': '3.28'}
{'股票代码': 'SZ000032', '股票价格': '17.17'}
{'股票代码': 'SZ000034', '股票价格': '17.01'}
{'股票代码': 'SZ000035', '股票价格': '4.23'}
{'股票代码': 'SZ000036', '股票价格': '4.10'}
{'股票代码': 'SZ000037', '股票价格': '7.67'}
{'股票代码': 'SZ000038', '股票价格': '9.93'}
{'股票代码': 'SZ000039', '股票价格': '15.77'}
{'股票代码': 'SZ000040', '股票价格': '2.84'}
{'股票代码': 'SZ000042', '股票价格': '7.38'}
{'股票代码': 'SZ000045', '股票价格': '9.05'}
{'股票代码': 'SZ000046', '股票价格': '1.99'}
{'股票代码': 'SZ000048', '股票价格': '18.13'}
{'股票代码': 'SZ000049', '股票价格': '40.96'}
{'股票代码': 'SZ000050', '股票价格': '14.29'}
{'股票代码': 'SZ000055', '股票价格': '4.43'}
{'股票代码': 'SZ000056', '股票价格': '3.08'}
{'股票代码': 'SZ000058', '股票价格': '5.74'}
{'股票代码': 'SZ000059', '股票价格': '6.40'}
{'股票代码': 'SZ000060', '股票价格': '5.16'}
{'股票代码': 'SZ000061', '股票价格': '5.47'}
{'股票代码': 'SZ000062', '股票价格': '16.26'}
{'股票代码': 'SZ000063', '股票价格': '36.77'}
{'股票代码': 'SZ000065', '股票价格': '7.74'}
{'股票代码': 'SZ000066', '股票价格': '15.13'}
{'股票代码': 'SZ000068', '股票价格': '2.89'}
{'股票代码': 'SZ000069', '股票价格': '6.60'}
{'股票代码': 'SZ000070', '股票价格': '7.37'}
{'股票代码': 'SZ000078', '股票价格': '3.13'}
{'股票代码': 'SZ000088', '股票价格': '5.27'}
{'股票代码': 'SZ000089', '股票价格': '7.26'}
{'股票代码': 'SZ000090', '股票价格': '5.00'}
{'股票代码': 'SZ000096', '股票价格': '8.50'}
{'股票代码': 'SZ000099', '股票价格': '7.33'}
{'股票代码': 'SZ000100', '股票价格': '7.65'}
{'股票代码': 'SZ000150', '股票价格': '3.58'}
{'股票代码': 'SZ000151', '股票价格': '7.28'}
{'股票代码': 'SZ000153', '股票价格': '8.90'}
{'股票代码': 'SZ000155', '股票价格': '19.59'}
{'股票代码': 'SZ000156', '股票价格': '7.17'}
{'股票代码': 'SZ000157', '股票价格': '7.43'}
{'股票代码': 'SZ000158', '股票价格': '8.34'}
{'股票代码': 'SZ000159', '股票价格': '8.09'}
{'股票代码': 'SZ000166', '股票价格': '4.37'}
{'股票代码': 'SZ000301', '股票价格': '25.55'}
{'股票代码': 'SZ000333', '股票价格': '61.40'}
{'股票代码': 'SZ000338', '股票价格': '17.70'}
{'股票代码': 'SZ000400', '股票价格': '13.44'}
{'股票代码': 'SZ000401', '股票价格': '12.23'}
{'股票代码': 'SZ000402', '股票价格': '5.68'}
{'股票代码': 'SZ000403', '股票价格': '32.00'}
{'股票代码': 'SZ000404', '股票价格': '3.59'}
{'股票代码': 'SZ000407', '股票价格': '3.97'}
{'股票代码': 'SZ000408', '股票价格': '27.31'}
{'股票代码': 'SZ000409', '股票价格': '5.07'}
{'股票代码': 'SZ000410', '股票价格': '4.15'}
{'股票代码': 'SZ000411', '股票价格': '11.74'}
{'股票代码': 'SZ000413', '股票价格': '2.08'}
{'股票代码': 'SZ000415', '股票价格': '2.49'}
{'股票代码': 'SZ000416', '股票价格': '3.61'}
{'股票代码': 'SZ000417', '股票价格': '4.21'}
{'股票代码': 'SZ000419', '股票价格': '4.24'}
{'股票代码': 'SZ000420', '股票价格': '3.06'}
{'股票代码': 'SZ000421', '股票价格': '4.53'}
{'股票代码': 'SZ000422', '股票价格': '9.97'}
{'股票代码': 'SZ000423', '股票价格': '31.14'}
{'股票代码': 'SZ000425', '股票价格': '5.99'}
{'股票代码': 'SZ000426', '股票价格': '8.46'}
{'股票代码': 'SZ000428', '股票价格': '2.59'}
{'股票代码': 'SZ000429', '股票价格': '6.74'}
{'股票代码': 'SZ000430', '股票价格': '5.21'}
{'股票代码': 'SZ000488', '股票价格': '7.41'}
{'股票代码': 'SZ000498', '股票价格': '5.99'}
{'股票代码': 'SZ000501', '股票价格': '10.68'}
{'股票代码': 'SZ000502', '股票价格': '4.80'}
{'股票代码': 'SZ000503', '股票价格': '6.91'}
{'股票代码': 'SZ000504', '股票价格': '19.68'}
{'股票代码': 'SZ000505', '股票价格': '7.00'}
{'股票代码': 'SZ000506', '股票价格': '4.49'}
{'股票代码': 'SZ000507', '股票价格': '6.59'}
{'股票代码': 'SZ000509', '股票价格': '2.99'}
{'股票代码': 'SZ000510', '股票价格': '5.65'}
{'股票代码': 'SZ000513', '股票价格': '38.08'}
{'股票代码': 'SZ000514', '股票价格': '3.08'}
{'股票代码': 'SZ000516', '股票价格': '12.64'}
{'股票代码': 'SZ000517', '股票价格': '2.43'}
{'股票代码': 'SZ000518', '股票价格': '3.27'}
{'股票代码': 'SZ000519', '股票价格': '12.45'}
{'股票代码': 'SZ000520', '股票价格': '3.20'}
{'股票代码': 'SZ000521', '股票价格': '3.16'}
